Country Name;2016 [YR2016]
Pakistan;796100.0
Palau;460.0
Panama;75320.0
Papua New Guinea;462840.0
Paraguay;406752.0
Peru;1285220.0
Philippines;300000.0
Poland;312680.0
Portugal;92225.6
Puerto Rico (US);8870.0
Qatar;11490.0
Romania;238400.0
Russian Federation;17098250.0
Rwanda;26340.0
Samoa;2840.0
Sao Tome and Principe;960.0
Saudi Arabia;2149690.0
Senegal;196710.0
Serbia;88360.0
Seychelles;460.0
Sierra Leone;72300.0
Singapore;719.0
Slovak Republic;49030.0
Slovenia;20675.0
Solomon Islands;28900.0
Somalia, Fed. Rep.;637660.0
South Africa;1219090.0
South Sudan;646883.0
Spain;505935.0
Sri Lanka;65610.0
St. Kitts and Nevis;260.0
St. Lucia;620.0
St. Vincent and the Grenadines;390.0
Sudan;1878000.0
Suriname;163820.0
Eswatini;17360.0
Sweden;528449.29
Switzerland;41290.7
Syrian Arab Republic;185180.0
Tajikistan;141380.0
Tanzania;947300.0
Thailand;513120.0
Timor-Leste;14870.0
Togo;56790.0
Tonga;750.0
Trinidad and Tobago;5130.0
Tunisia;163610.0
Turkiye;785350.0
Turkmenistan;488100.0
Turks and Caicos Islands;950.0
Uganda;241550.0
Ukraine;603550.0
United Arab Emirates;98647.9
United Kingdom;243610.0
United States;9831510.0
Uruguay;176220.0
Uzbekistan;448924.0
Vanuatu;12190.0
Venezuela, RB;912050.0
Viet Nam;331230.0
Virgin Islands (U.S.);350.0
West Bank and Gaza;6020.0
Yemen, Rep.;527970.0
Zambia;752610.0
Zimbabwe;390760.0
Afghanistan;19449602244.5449
Albania;12563436494.2492
Algeria;201027370828.171
Angola;85029884361.6455
Antigua and Barbuda;1356337300.99126
Argentina;532504167159.506
Armenia;11045672826.7053
Aruba;2779171748.89003
Australia;1314218336900.93
Austria;401752142847.211
Azerbaijan;46729265974.4718
Bahamas, The;10795921142.679
Bahrain;32348153026.6238
Bangladesh;225591727898.942
Barbados;5367857906.73848
Belarus;53366156233.9518
Belgium;490005006478.761
Belize;2058694975.6792
Benin;12171124091.5211
Bermuda;6689406375.36548
Bhutan;2152170785.36801
Bolivia;33490607690.1137
Bosnia and Herzegovina;17598824944.9714
Botswana;13545412768.6041
Brazil;1839991635542.07
Brunei Darussalam;13925295902.1618
Bulgaria;52585518708.5058
Burkina Faso;12626356083.9431
Burundi;2707205570.73846
Cabo Verde;1833718971.6041
Cambodia;24513116372.8426
Cameroon;34412094661.6485
Canada;1585229175341.14
Cayman Islands;3018186348.64587
