Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population, total",SP.POP.TOTL,Netherlands,NLD,17030314
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283423
"Population, total",SP.POP.TOTL,New Zealand,NZL,4714100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6232666
"Population, total",SP.POP.TOTL,Niger,NER,20685753
"Population, total",SP.POP.TOTL,Nigeria,NGA,195443700
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,50773
"Population, total",SP.POP.TOTL,Norway,NOR,5234519
"Population, total",SP.POP.TOTL,Oman,OMN,4390877
"Population, total",SP.POP.TOTL,Pakistan,PAK,220138869
"Population, total",SP.POP.TOTL,Palau,PLW,17797
"Population, total",SP.POP.TOTL,Panama,PAN,4029086
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8961718
"Population, total",SP.POP.TOTL,Paraguay,PRY,6249126
"Population, total",SP.POP.TOTL,Peru,PER,30866494
"Population, total",SP.POP.TOTL,Philippines,PHL,106735719
"Population, total",SP.POP.TOTL,Poland,POL,37970087
"Population, total",SP.POP.TOTL,Portugal,PRT,10325452
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3480432
"Population, total",SP.POP.TOTL,Qatar,QAT,2477113
"Population, total",SP.POP.TOTL,Romania,ROU,19702267
"Population, total",SP.POP.TOTL,Russian Federation,RUS,145015460
"Population, total",SP.POP.TOTL,Rwanda,RWA,11919183
"Population, total",SP.POP.TOTL,Samoa,WSM,203499
"Population, total",SP.POP.TOTL,San Marino,SMR,33101
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,203689
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30954198
"Population, total",SP.POP.TOTL,Senegal,SEN,15034521
"Population, total",SP.POP.TOTL,Serbia,SRB,7058322
"Population, total",SP.POP.TOTL,Seychelles,SYC,94677
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7205328
"Population, total",SP.POP.TOTL,Singapore,SGP,5607283
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,38249
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5430798
"Population, total",SP.POP.TOTL,Slovenia,SVN,2065042
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,662379
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,14348740
